Time		    CASE	den	een	dex	eex	dut_led	exp_led
[1305000]		PASS:	0	0	0	0	0111	0111
[1315000]		PASS:	0	0	0	0	0111	0111
[1325000]		PASS:	0	0	0	0	0111	0111
[1335000]		PASS:	0	0	0	0	0111	0111
[1345000]		PASS:	0	0	0	0	0111	0111
[1355000]		PASS:	0	0	0	0	0111	0111
[1365000]		PASS:	0	0	0	0	0111	0111
[1375000]		PASS:	1	1	0	0	0111	0111
[1385000]		PASS:	0	0	0	0	1000	1000
[1395000]		PASS:	0	0	0	0	1000	1000
[1405000]		PASS:	0	0	0	0	1000	1000
[1415000]		PASS:	0	0	0	0	1000	1000
[1425000]		PASS:	0	0	0	0	1000	1000
[1435000]		PASS:	0	0	0	0	1000	1000
[1445000]		PASS:	0	0	0	0	1000	1000
[1455000]		PASS:	0	0	0	0	1000	1000
[1465000]		PASS:	0	0	0	0	1000	1000
[1475000]		PASS:	0	0	0	0	1000	1000
[1485000]		PASS:	0	0	0	0	1000	1000
[1495000]		PASS:	0	0	0	0	1000	1000
[1505000]		PASS:	0	0	0	0	1000	1000
[1515000]		PASS:	0	0	0	0	1000	1000
[1525000]		PASS:	0	0	0	0	1000	1000
[1535000]		PASS:	0	0	0	0	1000	1000
[1545000]		PASS:	0	0	0	0	1000	1000
[1555000]		PASS:	1	1	0	0	1000	1000
[1565000]		PASS:	0	0	0	0	1001	1001
[1575000]		PASS:	0	0	0	0	1001	1001
[1585000]		PASS:	0	0	0	0	1001	1001
[1595000]		PASS:	0	0	0	0	1001	1001
[1605000]		PASS:	0	0	0	0	1001	1001
[1615000]		PASS:	0	0	0	0	1001	1001
[1625000]		PASS:	0	0	0	0	1001	1001
[1635000]		PASS:	0	0	0	0	1001	1001
[1645000]		PASS:	0	0	0	0	1001	1001
[1655000]		PASS:	0	0	0	0	1001	1001
[1665000]		PASS:	0	0	0	0	1001	1001
[1675000]		PASS:	0	0	0	0	1001	1001
[1685000]		PASS:	0	0	0	0	1001	1001
[1695000]		PASS:	0	0	0	0	1001	1001
[1705000]		PASS:	0	0	0	0	1001	1001
[1715000]		PASS:	0	0	0	0	1001	1001
[1725000]		PASS:	1	1	0	0	1001	1001
[1735000]		PASS:	0	0	0	0	1010	1010
[1745000]		PASS:	0	0	0	0	1010	1010
[1755000]		PASS:	0	0	0	0	1010	1010
[1765000]		PASS:	0	0	0	0	1010	1010
[1775000]		PASS:	0	0	0	0	1010	1010
[1785000]		PASS:	0	0	0	0	1010	1010
[1795000]		PASS:	0	0	0	0	1010	1010
[1805000]		PASS:	0	0	0	0	1010	1010
[1815000]		PASS:	0	0	0	0	1010	1010
[1825000]		PASS:	0	0	0	0	1010	1010
[1835000]		PASS:	0	0	0	0	1010	1010
[1845000]		PASS:	0	0	0	0	1010	1010
[1855000]		PASS:	0	0	0	0	1010	1010
[1865000]		PASS:	1	1	0	0	1010	1010
[1875000]		PASS:	0	0	0	0	1011	1011
[1885000]		PASS:	0	0	0	0	1011	1011
[1895000]		PASS:	0	0	0	0	1011	1011
[1905000]		PASS:	0	0	0	0	1011	1011
[1915000]		PASS:	0	0	0	0	1011	1011
[1925000]		PASS:	0	0	0	0	1011	1011
[1935000]		PASS:	0	0	0	0	1011	1011
[1945000]		PASS:	0	0	0	0	1011	1011
[1955000]		PASS:	0	0	0	0	1011	1011
[1965000]		PASS:	0	0	0	0	1011	1011
[1975000]		PASS:	0	0	0	0	1011	1011
[1985000]		PASS:	0	0	0	0	1011	1011
[1995000]		PASS:	0	0	0	0	1011	1011
[2005000]		PASS:	1	1	0	0	1011	1011
